id,room_id,guild_id,owner_id,action_type,target_user_id,metadata_json,created_at
45,15,1471242450386550835,1119865884362682441,WHITELIST_ADD,1441859284030980108,"{""source"":""modal_allow""}","""2026-02-28T18:20:04.769Z"""
46,15,1471242450386550835,1119865884362682441,WHITELIST_ADD,801741057394081793,"{""source"":""modal_allow""}","""2026-02-28T18:31:33.081Z"""
47,15,1471242450386550835,1119865884362682441,WHITELIST_REMOVE,787960730975993896,"{""source"":""modal_remove""}","""2026-02-28T18:33:29.097Z"""
48,15,1471242450386550835,1119865884362682441,WHITELIST_REMOVE,1058727181288755240,"{""source"":""modal_remove""}","""2026-02-28T18:33:46.016Z"""
49,15,1471242450386550835,1119865884362682441,WHITELIST_REMOVE,1441859284030980108,"{""source"":""modal_remove""}","""2026-02-28T18:34:00.923Z"""
50,15,1471242450386550835,1119865884362682441,WHITELIST_ADD,1058727181288755240,"{""source"":""modal_allow""}","""2026-02-28T18:37:30.276Z"""
51,15,1471242450386550835,1119865884362682441,WHITELIST_ADD,1441859284030980108,"{""source"":""modal_allow""}","""2026-02-28T18:38:21.778Z"""
52,15,1471242450386550835,1119865884362682441,UNLOCK,\N,"{""source"":""button_lockoff""}","""2026-02-28T18:39:40.995Z"""
53,19,1471242450386550835,763898226562564116,WHITELIST_ADD,787960730975993896,"{""source"":""modal_allow""}","""2026-02-28T19:00:20.042Z"""
54,19,1471242450386550835,763898226562564116,WHITELIST_ADD,1058727181288755240,"{""source"":""modal_allow""}","""2026-02-28T19:00:35.890Z"""
55,19,1471242450386550835,763898226562564116,WHITELIST_ADD,1477005738361618565,"{""source"":""modal_allow""}","""2026-02-28T19:00:51.128Z"""
56,19,1471242450386550835,763898226562564116,WHITELIST_ADD,973259515476733962,"{""source"":""modal_allow""}","""2026-02-28T19:03:08.598Z"""
57,19,1471242450386550835,763898226562564116,WHITELIST_ADD,1119865884362682441,"{""source"":""modal_allow""}","""2026-02-28T19:03:29.405Z"""
58,19,1471242450386550835,763898226562564116,WHITELIST_REMOVE,1119865884362682441,"{""source"":""modal_remove""}","""2026-02-28T19:03:52.434Z"""
59,19,1471242450386550835,763898226562564116,WHITELIST_REMOVE,973259515476733962,"{""source"":""modal_remove""}","""2026-02-28T19:04:28.042Z"""
