id,guild_id,user_id,moderator_id,action_type,reason,duration,created_at
1,1471242450386550835,1390689313788006420,378234973624336384,warn,kufur,Yok,"""2026-02-20T18:43:08.000Z"""
2,1471242450386550835,1390689313788006420,378234973624336384,warn,troll,Yok,"""2026-02-20T18:43:08.000Z"""
3,1471242450386550835,787960730975993896,378234973624336384,warn,Yok,Yok,"""2026-02-20T18:43:08.000Z"""
4,1471242450386550835,787960730975993896,378234973624336384,warn,Yok,Yok,"""2026-02-20T18:43:08.000Z"""
5,1471242450386550835,787960730975993896,378234973624336384,warn,Yok,Yok,"""2026-02-20T18:43:08.000Z"""
6,1471242450386550835,787960730975993896,378234973624336384,warn,Yok,Yok,"""2026-02-20T18:43:08.000Z"""
7,1471242450386550835,787960730975993896,378234973624336384,warn,Yok,Yok,"""2026-02-20T18:43:08.000Z"""
8,1471242450386550835,787960730975993896,378234973624336384,warn,Yok,Yok,"""2026-02-20T18:43:08.000Z"""
9,1471242450386550835,787960730975993896,378234973624336384,warn,Yok,Yok,"""2026-02-20T18:43:08.000Z"""
10,1471242450386550835,787960730975993896,378234973624336384,warn,Yok,Yok,"""2026-02-20T18:43:08.000Z"""
11,1471242450386550835,787960730975993896,378234973624336384,warn,Yok,Yok,"""2026-02-20T18:43:08.000Z"""
12,1471242450386550835,787960730975993896,378234973624336384,warn,Yok,Yok,"""2026-02-20T18:43:08.000Z"""
13,1471242450386550835,787960730975993896,378234973624336384,warn,Yok,Yok,"""2026-02-20T18:43:08.000Z"""
14,1471242450386550835,787960730975993896,378234973624336384,warn,Yok,Yok,"""2026-02-20T18:43:08.000Z"""
15,1471242450386550835,787960730975993896,378234973624336384,warn,Yok,Yok,"""2026-02-20T18:43:08.000Z"""
16,1471242450386550835,787960730975993896,378234973624336384,warn,Yok,Yok,"""2026-02-20T18:43:08.000Z"""
17,1471242450386550835,787960730975993896,378234973624336384,warn,Yok,Yok,"""2026-02-20T18:43:08.000Z"""
18,1471242450386550835,787960730975993896,378234973624336384,warn,Yok,Yok,"""2026-02-20T18:43:08.000Z"""
19,1471242450386550835,787960730975993896,378234973624336384,warn,Yok,Yok,"""2026-02-20T18:43:08.000Z"""
20,1471242450386550835,787960730975993896,378234973624336384,warn,Yok,Yok,"""2026-02-20T18:43:08.000Z"""
21,1471242450386550835,787960730975993896,378234973624336384,warn,Yok,Yok,"""2026-02-20T18:43:08.000Z"""
22,1471242450386550835,787960730975993896,378234973624336384,warn,Yok,Yok,"""2026-02-20T18:43:08.000Z"""
23,1471242450386550835,787960730975993896,378234973624336384,warn,Yok,Yok,"""2026-02-20T18:43:08.000Z"""
24,1471242450386550835,787960730975993896,378234973624336384,warn,Yok,Yok,"""2026-02-20T18:43:08.000Z"""
25,1471242450386550835,787960730975993896,378234973624336384,warn,Yok,Yok,"""2026-02-20T18:43:08.000Z"""
26,1471242450386550835,787960730975993896,378234973624336384,warn,Yok,Yok,"""2026-02-20T18:43:08.000Z"""
27,1471242450386550835,787960730975993896,378234973624336384,warn,Yok,Yok,"""2026-02-20T18:43:08.000Z"""
28,1471242450386550835,787960730975993896,378234973624336384,warn,Yok,Yok,"""2026-02-20T18:43:08.000Z"""
29,1471242450386550835,787960730975993896,378234973624336384,warn,Yok,Yok,"""2026-02-20T18:43:08.000Z"""
30,1471242450386550835,787960730975993896,378234973624336384,warn,Yok,Yok,"""2026-02-20T18:43:08.000Z"""
31,1471242450386550835,787960730975993896,378234973624336384,warn,Yok,Yok,"""2026-02-20T18:43:08.000Z"""
32,1471242450386550835,787960730975993896,378234973624336384,warn,Yok,Yok,"""2026-02-20T18:43:08.000Z"""
33,1471242450386550835,787960730975993896,378234973624336384,warn,Yok,Yok,"""2026-02-20T18:43:08.000Z"""
34,1471242450386550835,787960730975993896,378234973624336384,warn,Yok,Yok,"""2026-02-20T18:43:08.000Z"""
35,1471242450386550835,787960730975993896,378234973624336384,warn,Yok,Yok,"""2026-02-20T18:43:08.000Z"""
36,1471242450386550835,787960730975993896,378234973624336384,warn,Yok,Yok,"""2026-02-20T18:43:08.000Z"""
37,1471242450386550835,787960730975993896,378234973624336384,warn,Yok,Yok,"""2026-02-20T18:43:08.000Z"""
38,1471242450386550835,787960730975993896,378234973624336384,warn,Yok,Yok,"""2026-02-20T18:43:08.000Z"""
39,1471242450386550835,787960730975993896,378234973624336384,warn,Yok,Yok,"""2026-02-20T18:43:08.000Z"""
40,1471242450386550835,1390689313788006420,378234973624336384,mute,kufur,10dk,"""2026-02-20T18:43:08.000Z"""
41,1471242450386550835,1390689313788006420,378234973624336384,warn,kufur,Yok,"""2026-02-20T18:43:08.000Z"""
42,1471242450386550835,1390689313788006420,378234973624336384,warn,kufur,Yok,"""2026-02-20T18:43:08.000Z"""
43,1471242450386550835,1390689313788006420,378234973624336384,warn,kufur,Yok,"""2026-02-20T18:43:08.000Z"""
44,1471242450386550835,1390689313788006420,378234973624336384,warn,kufur,Yok,"""2026-02-20T18:43:08.000Z"""
45,1471242450386550835,1390689313788006420,378234973624336384,warn,kufur,Yok,"""2026-02-20T18:43:08.000Z"""
46,1471242450386550835,1390689313788006420,378234973624336384,warn,kufur,Yok,"""2026-02-20T18:43:08.000Z"""
47,1471242450386550835,1390689313788006420,378234973624336384,warn,kufur,Yok,"""2026-02-20T18:43:08.000Z"""
48,1471242450386550835,1390689313788006420,378234973624336384,warn,kufur,Yok,"""2026-02-20T18:43:08.000Z"""
49,1471242450386550835,1390689313788006420,378234973624336384,warn,kufur,Yok,"""2026-02-20T18:43:08.000Z"""
50,1471242450386550835,1390689313788006420,378234973624336384,warn,kufur,Yok,"""2026-02-20T18:43:08.000Z"""
51,1471242450386550835,1390689313788006420,378234973624336384,warn,kufur,Yok,"""2026-02-20T18:43:08.000Z"""
52,1471242450386550835,1390689313788006420,378234973624336384,warn,kufur,Yok,"""2026-02-20T18:43:08.000Z"""
53,1471242450386550835,1390689313788006420,378234973624336384,warn,kufur,Yok,"""2026-02-20T18:43:08.000Z"""
54,1471242450386550835,1390689313788006420,378234973624336384,warn,kufur,Yok,"""2026-02-20T18:43:08.000Z"""
55,1471242450386550835,1390689313788006420,378234973624336384,warn,kufur,Yok,"""2026-02-20T18:43:08.000Z"""
56,1471242450386550835,1390689313788006420,378234973624336384,warn,kufur,Yok,"""2026-02-20T18:43:08.000Z"""
57,366210117986942976,1217940345040539718,378234973624336384,warn,sanal mafiklik,Yok,"""2026-02-20T18:43:08.000Z"""
58,1471242450386550835,787960730975993896,378234973624336384,warn,botuma bakmadigi icin.,Yok,"""2026-02-20T18:43:08.000Z"""
59,366210117986942976,1217940345040539718,378234973624336384,warn,sapiklik sezdim,Yok,"""2026-02-20T18:43:08.000Z"""
60,1471242450386550835,787960730975993896,378234973624336384,warn,Yok,Yok,"""2026-02-20T18:43:08.000Z"""
61,1471242450386550835,787960730975993896,378234973624336384,mute,Yok,Süresiz,"""2026-02-20T18:43:08.000Z"""
62,1471242450386550835,787960730975993896,378234973624336384,mute,Yok,Süresiz,"""2026-02-20T18:43:08.000Z"""
63,1471242450386550835,776755211015815169,763898226562564116,warn,Yok,Yok,"""2026-02-20T18:43:08.000Z"""
64,1471242450386550835,776755211015815169,763898226562564116,warn,Yok,Yok,"""2026-02-20T18:43:08.000Z"""
65,1471242450386550835,776755211015815169,763898226562564116,warn,kufur,Yok,"""2026-02-20T18:43:08.000Z"""
66,1471242450386550835,776755211015815169,763898226562564116,mute,deneme,10dk,"""2026-02-20T18:43:08.000Z"""
67,1471242450386550835,776755211015815169,763898226562564116,jail,Yok,Süresiz,"""2026-02-20T18:43:08.000Z"""
68,1471242450386550835,776755211015815169,763898226562564116,warn,deneme,Yok,"""2026-02-20T18:43:08.000Z"""
69,1471242450386550835,776755211015815169,763898226562564116,mute,kufur,10dk,"""2026-02-20T18:43:08.000Z"""
70,1471242450386550835,776755211015815169,763898226562564116,mute,Yok,Süresiz,"""2026-02-20T18:43:08.000Z"""
71,1471242450386550835,776755211015815169,763898226562564116,mute,Yok,Süresiz,"""2026-02-20T18:43:08.000Z"""
72,1471242450386550835,689766089567109158,763898226562564116,warn,Yok,Yok,"""2026-02-20T18:43:08.000Z"""
73,1471242450386550835,1390689313788006420,763898226562564116,mute,Yok,Süresiz,"""2026-02-20T18:43:08.000Z"""
74,1471242450386550835,1390689313788006420,763898226562564116,warn,Yok,Yok,"""2026-02-20T18:43:08.000Z"""
75,1471242450386550835,1390689313788006420,763898226562564116,warn,Yok,Yok,"""2026-02-20T18:43:08.000Z"""
76,1471242450386550835,776755211015815169,763898226562564116,warn,Yok,Yok,"""2026-02-20T18:43:08.000Z"""
77,1471242450386550835,776755211015815169,763898226562564116,warn,Yok,Yok,"""2026-02-20T18:43:08.000Z"""
78,1471242450386550835,776755211015815169,763898226562564116,mute,Yok,Süresiz,"""2026-02-20T18:43:08.000Z"""
79,1471242450386550835,776755211015815169,763898226562564116,mute,Yok,Süresiz,"""2026-02-20T18:43:08.000Z"""
80,1471242450386550835,776755211015815169,763898226562564116,warn,deneme,Yok,"""2026-02-20T18:43:08.000Z"""
81,1471242450386550835,776755211015815169,763898226562564116,jail,Yok,Süresiz,"""2026-02-20T18:43:08.000Z"""
82,1471242450386550835,1390689313788006420,763898226562564116,warn,Yok,Yok,"""2026-02-20T18:43:08.000Z"""
83,1471242450386550835,1390689313788006420,763898226562564116,warn,Yok,Yok,"""2026-02-20T18:43:08.000Z"""
84,1471242450386550835,1390689313788006420,763898226562564116,warn,Yok,Yok,"""2026-02-20T18:43:08.000Z"""
85,1471242450386550835,1390689313788006420,763898226562564116,warn,Yok,Yok,"""2026-02-20T18:43:08.000Z"""
86,1471242450386550835,1390689313788006420,763898226562564116,warn,Yok,Yok,"""2026-02-20T18:43:08.000Z"""
87,1471242450386550835,1390689313788006420,763898226562564116,mute,Yok,Süresiz,"""2026-02-20T18:43:08.000Z"""
88,1471242450386550835,1390689313788006420,763898226562564116,mute,Yok,Süresiz,"""2026-02-20T18:43:08.000Z"""
89,1471242450386550835,1390689313788006420,763898226562564116,mute,Yok,Süresiz,"""2026-02-20T18:43:08.000Z"""
