id,guild_id,owner_id,voice_channel_id,panel_message_id,locked,whitelist_member_ids_json,last_active_at,created_at,updated_at
11,1471242450386550835,763898226562564116,1476113509304766515,1476113514736386165,1,[],1772031330409,"""2026-02-25T07:08:05.000Z""","""2026-02-25T14:55:30.000Z"""
12,1471242450386550835,1119865884362682441,1476230805716992081,1476230811161464873,0,[],1772033337548,"""2026-02-25T14:54:12.000Z""","""2026-02-25T15:28:57.000Z"""
13,1471242450386550835,828271363994288128,1476636837580767303,1476636842680914041,0,[],1772135465295,"""2026-02-26T17:47:38.000Z""","""2026-02-26T19:51:05.000Z"""
