id,guild_id,user_id,action_type,timestamp,reason,duration,moderator_id,created_at
1,1471242450386550835,1390689313788006420,warn,"""2026-02-15T19:33:02.000Z""",kufur,Yok,378234973624336384,"""2026-02-20T21:43:08.000Z"""
2,1471242450386550835,1390689313788006420,warn,"""2026-02-15T19:33:57.000Z""",troll,Yok,378234973624336384,"""2026-02-20T21:43:08.000Z"""
3,1471242450386550835,787960730975993896,warn,"""2026-02-15T19:36:44.000Z""",Yok,Yok,378234973624336384,"""2026-02-20T21:43:08.000Z"""
4,1471242450386550835,787960730975993896,warn,"""2026-02-15T19:39:17.000Z""",Yok,Yok,378234973624336384,"""2026-02-20T21:43:08.000Z"""
5,1471242450386550835,787960730975993896,warn,"""2026-02-15T19:39:17.000Z""",Yok,Yok,378234973624336384,"""2026-02-20T21:43:08.000Z"""
6,1471242450386550835,787960730975993896,warn,"""2026-02-15T19:39:17.000Z""",Yok,Yok,378234973624336384,"""2026-02-20T21:43:08.000Z"""
7,1471242450386550835,787960730975993896,warn,"""2026-02-15T19:39:18.000Z""",Yok,Yok,378234973624336384,"""2026-02-20T21:43:08.000Z"""
8,1471242450386550835,787960730975993896,warn,"""2026-02-15T19:39:19.000Z""",Yok,Yok,378234973624336384,"""2026-02-20T21:43:08.000Z"""
9,1471242450386550835,787960730975993896,warn,"""2026-02-15T19:39:19.000Z""",Yok,Yok,378234973624336384,"""2026-02-20T21:43:08.000Z"""
10,1471242450386550835,787960730975993896,warn,"""2026-02-15T19:39:21.000Z""",Yok,Yok,378234973624336384,"""2026-02-20T21:43:08.000Z"""
11,1471242450386550835,787960730975993896,warn,"""2026-02-15T19:39:22.000Z""",Yok,Yok,378234973624336384,"""2026-02-20T21:43:08.000Z"""
12,1471242450386550835,787960730975993896,warn,"""2026-02-15T19:39:22.000Z""",Yok,Yok,378234973624336384,"""2026-02-20T21:43:08.000Z"""
13,1471242450386550835,787960730975993896,warn,"""2026-02-15T19:39:23.000Z""",Yok,Yok,378234973624336384,"""2026-02-20T21:43:08.000Z"""
14,1471242450386550835,787960730975993896,warn,"""2026-02-15T19:39:24.000Z""",Yok,Yok,378234973624336384,"""2026-02-20T21:43:08.000Z"""
15,1471242450386550835,787960730975993896,warn,"""2026-02-15T19:39:25.000Z""",Yok,Yok,378234973624336384,"""2026-02-20T21:43:08.000Z"""
16,1471242450386550835,787960730975993896,warn,"""2026-02-15T19:39:26.000Z""",Yok,Yok,378234973624336384,"""2026-02-20T21:43:08.000Z"""
17,1471242450386550835,787960730975993896,warn,"""2026-02-15T19:39:27.000Z""",Yok,Yok,378234973624336384,"""2026-02-20T21:43:08.000Z"""
18,1471242450386550835,787960730975993896,warn,"""2026-02-15T19:40:06.000Z""",Yok,Yok,378234973624336384,"""2026-02-20T21:43:08.000Z"""
19,1471242450386550835,787960730975993896,warn,"""2026-02-15T19:40:07.000Z""",Yok,Yok,378234973624336384,"""2026-02-20T21:43:08.000Z"""
20,1471242450386550835,787960730975993896,warn,"""2026-02-15T19:40:07.000Z""",Yok,Yok,378234973624336384,"""2026-02-20T21:43:08.000Z"""
21,1471242450386550835,787960730975993896,warn,"""2026-02-15T19:40:08.000Z""",Yok,Yok,378234973624336384,"""2026-02-20T21:43:08.000Z"""
22,1471242450386550835,787960730975993896,warn,"""2026-02-15T19:40:08.000Z""",Yok,Yok,378234973624336384,"""2026-02-20T21:43:08.000Z"""
23,1471242450386550835,787960730975993896,warn,"""2026-02-15T19:40:09.000Z""",Yok,Yok,378234973624336384,"""2026-02-20T21:43:08.000Z"""
24,1471242450386550835,787960730975993896,warn,"""2026-02-15T19:40:10.000Z""",Yok,Yok,378234973624336384,"""2026-02-20T21:43:08.000Z"""
25,1471242450386550835,787960730975993896,warn,"""2026-02-15T19:40:11.000Z""",Yok,Yok,378234973624336384,"""2026-02-20T21:43:08.000Z"""
26,1471242450386550835,787960730975993896,warn,"""2026-02-15T19:40:11.000Z""",Yok,Yok,378234973624336384,"""2026-02-20T21:43:08.000Z"""
27,1471242450386550835,787960730975993896,warn,"""2026-02-15T19:40:12.000Z""",Yok,Yok,378234973624336384,"""2026-02-20T21:43:08.000Z"""
28,1471242450386550835,787960730975993896,warn,"""2026-02-15T19:40:12.000Z""",Yok,Yok,378234973624336384,"""2026-02-20T21:43:08.000Z"""
29,1471242450386550835,787960730975993896,warn,"""2026-02-15T19:40:13.000Z""",Yok,Yok,378234973624336384,"""2026-02-20T21:43:08.000Z"""
30,1471242450386550835,787960730975993896,warn,"""2026-02-15T19:40:13.000Z""",Yok,Yok,378234973624336384,"""2026-02-20T21:43:08.000Z"""
31,1471242450386550835,787960730975993896,warn,"""2026-02-15T19:40:13.000Z""",Yok,Yok,378234973624336384,"""2026-02-20T21:43:08.000Z"""
32,1471242450386550835,787960730975993896,warn,"""2026-02-15T19:40:15.000Z""",Yok,Yok,378234973624336384,"""2026-02-20T21:43:08.000Z"""
33,1471242450386550835,787960730975993896,warn,"""2026-02-15T19:40:16.000Z""",Yok,Yok,378234973624336384,"""2026-02-20T21:43:08.000Z"""
34,1471242450386550835,787960730975993896,warn,"""2026-02-15T19:40:17.000Z""",Yok,Yok,378234973624336384,"""2026-02-20T21:43:08.000Z"""
35,1471242450386550835,787960730975993896,warn,"""2026-02-15T19:40:17.000Z""",Yok,Yok,378234973624336384,"""2026-02-20T21:43:08.000Z"""
36,1471242450386550835,787960730975993896,warn,"""2026-02-15T19:40:17.000Z""",Yok,Yok,378234973624336384,"""2026-02-20T21:43:08.000Z"""
37,1471242450386550835,787960730975993896,warn,"""2026-02-15T19:40:18.000Z""",Yok,Yok,378234973624336384,"""2026-02-20T21:43:08.000Z"""
38,1471242450386550835,787960730975993896,warn,"""2026-02-15T19:40:18.000Z""",Yok,Yok,378234973624336384,"""2026-02-20T21:43:08.000Z"""
39,1471242450386550835,787960730975993896,warn,"""2026-02-15T19:40:19.000Z""",Yok,Yok,378234973624336384,"""2026-02-20T21:43:08.000Z"""
40,1471242450386550835,1390689313788006420,mute,"""2026-02-15T23:07:14.000Z""",kufur,10dk,378234973624336384,"""2026-02-20T21:43:08.000Z"""
41,1471242450386550835,1390689313788006420,warn,"""2026-02-15T23:13:33.000Z""",kufur,Yok,378234973624336384,"""2026-02-20T21:43:08.000Z"""
42,1471242450386550835,1390689313788006420,warn,"""2026-02-15T23:13:33.000Z""",kufur,Yok,378234973624336384,"""2026-02-20T21:43:08.000Z"""
43,1471242450386550835,1390689313788006420,warn,"""2026-02-15T23:13:34.000Z""",kufur,Yok,378234973624336384,"""2026-02-20T21:43:08.000Z"""
44,1471242450386550835,1390689313788006420,warn,"""2026-02-15T23:13:34.000Z""",kufur,Yok,378234973624336384,"""2026-02-20T21:43:08.000Z"""
45,1471242450386550835,1390689313788006420,warn,"""2026-02-15T23:13:34.000Z""",kufur,Yok,378234973624336384,"""2026-02-20T21:43:08.000Z"""
46,1471242450386550835,1390689313788006420,warn,"""2026-02-15T23:13:35.000Z""",kufur,Yok,378234973624336384,"""2026-02-20T21:43:08.000Z"""
47,1471242450386550835,1390689313788006420,warn,"""2026-02-15T23:13:35.000Z""",kufur,Yok,378234973624336384,"""2026-02-20T21:43:08.000Z"""
48,1471242450386550835,1390689313788006420,warn,"""2026-02-15T23:13:36.000Z""",kufur,Yok,378234973624336384,"""2026-02-20T21:43:08.000Z"""
49,1471242450386550835,1390689313788006420,warn,"""2026-02-15T23:13:36.000Z""",kufur,Yok,378234973624336384,"""2026-02-20T21:43:08.000Z"""
50,1471242450386550835,1390689313788006420,warn,"""2026-02-15T23:13:36.000Z""",kufur,Yok,378234973624336384,"""2026-02-20T21:43:08.000Z"""
51,1471242450386550835,1390689313788006420,warn,"""2026-02-15T23:13:37.000Z""",kufur,Yok,378234973624336384,"""2026-02-20T21:43:08.000Z"""
52,1471242450386550835,1390689313788006420,warn,"""2026-02-15T23:13:38.000Z""",kufur,Yok,378234973624336384,"""2026-02-20T21:43:08.000Z"""
53,1471242450386550835,1390689313788006420,warn,"""2026-02-15T23:13:39.000Z""",kufur,Yok,378234973624336384,"""2026-02-20T21:43:08.000Z"""
54,1471242450386550835,1390689313788006420,warn,"""2026-02-15T23:13:40.000Z""",kufur,Yok,378234973624336384,"""2026-02-20T21:43:08.000Z"""
55,1471242450386550835,1390689313788006420,warn,"""2026-02-15T23:13:41.000Z""",kufur,Yok,378234973624336384,"""2026-02-20T21:43:08.000Z"""
56,1471242450386550835,1390689313788006420,warn,"""2026-02-15T23:13:41.000Z""",kufur,Yok,378234973624336384,"""2026-02-20T21:43:08.000Z"""
57,366210117986942976,1217940345040539718,warn,"""2026-02-17T21:59:20.000Z""",sanal mafiklik,Yok,378234973624336384,"""2026-02-20T21:43:08.000Z"""
58,1471242450386550835,787960730975993896,warn,"""2026-02-17T22:05:21.000Z""",botuma bakmadigi icin.,Yok,378234973624336384,"""2026-02-20T21:43:08.000Z"""
59,366210117986942976,1217940345040539718,warn,"""2026-02-18T00:02:00.000Z""",sapiklik sezdim,Yok,378234973624336384,"""2026-02-20T21:43:08.000Z"""
60,1471242450386550835,787960730975993896,warn,"""2026-02-18T11:41:07.000Z""",Yok,Yok,378234973624336384,"""2026-02-20T21:43:08.000Z"""
61,1471242450386550835,787960730975993896,mute,"""2026-02-18T11:42:05.000Z""",Yok,Süresiz,378234973624336384,"""2026-02-20T21:43:08.000Z"""
62,1471242450386550835,787960730975993896,mute,"""2026-02-18T11:42:14.000Z""",Yok,Süresiz,378234973624336384,"""2026-02-20T21:43:08.000Z"""
63,1471242450386550835,776755211015815169,warn,"""2026-02-19T00:10:25.000Z""",Yok,Yok,763898226562564116,"""2026-02-20T21:43:08.000Z"""
64,1471242450386550835,776755211015815169,warn,"""2026-02-19T00:20:35.000Z""",Yok,Yok,763898226562564116,"""2026-02-20T21:43:08.000Z"""
65,1471242450386550835,776755211015815169,warn,"""2026-02-19T00:20:40.000Z""",kufur,Yok,763898226562564116,"""2026-02-20T21:43:08.000Z"""
66,1471242450386550835,776755211015815169,mute,"""2026-02-19T00:21:30.000Z""",deneme,10dk,763898226562564116,"""2026-02-20T21:43:08.000Z"""
67,1471242450386550835,776755211015815169,jail,"""2026-02-19T00:21:53.000Z""",Yok,Süresiz,763898226562564116,"""2026-02-20T21:43:08.000Z"""
68,1471242450386550835,776755211015815169,warn,"""2026-02-19T00:35:34.000Z""",deneme,Yok,763898226562564116,"""2026-02-20T21:43:08.000Z"""
