guild_id,prefix,warn_enabled,warn_role,warn_safe_list,warn_limit,mute_enabled,mute_role,mute_penalty_role,mute_safe_list,mute_limit,kick_enabled,kick_role,kick_safe_list,kick_limit,jail_enabled,jail_role,jail_penalty_role,jail_safe_list,jail_limit,ban_enabled,ban_role,ban_safe_list,ban_limit,custom_messages,clear_enabled,clear_role,clear_safe_list,clear_limit,vcmute_enabled,vcmute_role,vcmute_safe_list,vcmute_limit,log_enabled,log_role,log_safe_list,log_limit,created_at,updated_at,tag_enabled,tag_role,tag_text,private_vc_enabled,private_vc_hub_channel,private_vc_required_role,private_vc_category,staff_hierarchy_roles
1471242450386550835,.,1,1471242450503991537,,0,1,1471242450503991539,1471618181880615002,,25,1,1472326667124084869,,5,1,1471279798528512060,1471276934133584084,,5,1,1471242450503991538,,5,{},1,1472333035364946005,,25,1,1473936405020545066,,5,1,1474628280920444948,,25,"""2026-02-21T18:32:28.000Z""","""2026-02-22T15:21:07.000Z""",1,1471242450470174947,auri,1,1471242458053480674,1471242450428366926,\N,"1471242450537414800,1471242450520772811"
366210117986942976,!,1,1472127559293468694,,0,1,1472127559293468694,1468787734729723996,,25,0,\N,,5,0,\N,\N,,5,0,\N,,5,"{""warn_success"":""{target} simarma knk"",""mute_success"":""{target} sus knk"",""unmute_success"":""{target} susma knk"",""quarantine_alert"":""yetkin yok knk"",""perm_error"":""yetkin yok knk"",""clear_success"":""{amount} mesaj sildim knk"",""hierarchy_error"":""senin ben anani avradini sikiyim""}",1,1472127559293468694,,10,1,\N,\N,5,1,\N,\N,25,"""2026-02-22T21:32:28.000Z""","""2026-02-22T21:32:28.000Z""",0,\N,\N,0,\N,\N,\N,\N
